source,company,title,location,url,updated_at
lever,zoox,Core Software Systems Intern,"Foster City, CA",https://jobs.lever.co/zoox/db76eba1-18cb-41f1-ab7e-f4ace0085a68/apply,
lever,zoox,Data Engineer Intern,"Foster City, CA",https://jobs.lever.co/zoox/b9fb6f1d-31db-4a79-b70b-9396bf01b117/apply,
lever,zoox,Data Governance Intern,"Foster City, CA",https://jobs.lever.co/zoox/e63f6b8f-bd1a-4822-9b61-22576c01f64f/apply,
lever,zoox,Data Scientist Intern,"Foster City, CA",https://jobs.lever.co/zoox/ab805ec5-1d08-420c-9606-f91825e6a1f9/apply,
lever,zoox,Database Engineer Intern,"Foster City, CA",https://jobs.lever.co/zoox/c9cbfeeb-450b-47ac-8336-17ee9ab056d4/apply,
lever,zoox,Embedded Software Development Intern,"Foster City, CA",https://jobs.lever.co/zoox/1fcd743b-6bba-4e6e-b926-a164fff73654/apply,
lever,zoox,Hardware Integration and Test Intern,"Foster City, CA",https://jobs.lever.co/zoox/98429957-337e-459f-94b6-fa6acfce82b9/apply,
lever,zoox,"Machine Learning Engineer Intern, Autonomy Behavior","Foster City, CA",https://jobs.lever.co/zoox/74ef6bb8-ec8a-4c6c-8618-544717f40e2d/apply,
lever,zoox,"Machine Learning Engineer Intern, Perception","Foster City, CA",https://jobs.lever.co/zoox/9b3ab3ee-b130-49b6-8413-7d8fd9c33ed3/apply,
lever,zoox,"Machine Learning Engineer Intern, Simulation","Foster City, CA",https://jobs.lever.co/zoox/f24a2d0c-bda7-48ff-9c83-9a96900128b7/apply,
lever,zoox,Mapping Software Intern,"Foster City, CA",https://jobs.lever.co/zoox/f318f39e-c089-4240-b341-ebb021d86b4f/apply,
lever,zoox,Mechanical Engineering Intern,"Foster City, CA",https://jobs.lever.co/zoox/9563a5de-8361-4fd1-946a-be872332ae26/apply,
lever,zoox,Quality Engineering Intern,"Foster City, CA",https://jobs.lever.co/zoox/499ef1a2-6383-4dd6-b94f-63ce8de6c483/apply,
lever,zoox,Reliability Data Intern,"Foster City, CA",https://jobs.lever.co/zoox/447c8d5f-7610-4c94-b2f3-16deac16a5a2/apply,
lever,zoox,"Supply Chain Intern, Indirect Procurement","Foster City, CA",https://jobs.lever.co/zoox/063efd1c-f761-4344-804d-700cc44a94e4/apply,
lever,zoox,System Engineering Intern,"Foster City, CA",https://jobs.lever.co/zoox/eb2f10b7-300a-46f1-bd35-41167c9f7c63/apply,
lever,zoox,"Technical Program Management Intern, AI Tools Development","Foster City, CA",https://jobs.lever.co/zoox/4770d734-9d08-4eae-abb5-6002495ca147/apply,
lever,zoox,"Technical Program Management Intern, Manufacturing Operational Excellence","Foster City, CA",https://jobs.lever.co/zoox/8903e652-08f3-45ef-9b81-aae94f5eb57f/apply,
lever,zoox,Test Automation & QA Systems Intern,"Foster City, CA",https://jobs.lever.co/zoox/3a7c0c4b-4f23-4136-99a9-df64b341a0fd/apply,
greenhouse,aurorainnovation,"Hardware Engineering Intern, LiDar (MS or PhD)","Mountain View, California",https://aurora.tech/jobs/8340326002?gh_jid=8340326002,2026-02-13T19:17:13-05:00
greenhouse,rocketlab,Electrical Engineering Intern Summer 2026,"Long Beach, CA",https://job-boards.greenhouse.io/rocketlab/jobs/7607472003,2026-02-10T21:10:34-05:00
greenhouse,rocketlab,Flight Software Intern Summer 2026,"Long Beach, CA",https://job-boards.greenhouse.io/rocketlab/jobs/7575850003,2026-02-10T21:16:19-05:00
greenhouse,rocketlab,Fluid Systems Intern Summer 2026,"Long Beach, CA",https://job-boards.greenhouse.io/rocketlab/jobs/7455969003,2026-02-13T10:49:43-05:00
greenhouse,rocketlab,Ground Systems Engineering Intern Summer 2026,"Stennis Space Center, MS",https://job-boards.greenhouse.io/rocketlab/jobs/7449663003,2026-02-11T11:32:41-05:00
greenhouse,rocketlab,Manufacturing Engineering Intern Summer 2026,"Middle River, MD",https://job-boards.greenhouse.io/rocketlab/jobs/7212767003,2026-02-10T21:11:20-05:00
greenhouse,rocketlab,Optical Engineering Intern Summer 2026,"Toronto, CAN",https://job-boards.greenhouse.io/rocketlab/jobs/7479228003,2026-02-10T21:12:32-05:00
greenhouse,rocketlab,Quality Engineering Intern Summer 2026,"Long Beach, CA",https://job-boards.greenhouse.io/rocketlab/jobs/7451954003,2026-02-10T21:12:21-05:00
greenhouse,rocketlab,Test Engineering Intern Summer 2026,"Wallops Island, VA",https://job-boards.greenhouse.io/rocketlab/jobs/7217705003,2026-02-18T01:17:21-05:00
greenhouse,astranis,Avionics Engineer Intern (Spring 2026),San Francisco,https://job-boards.greenhouse.io/astranis/jobs/4597416006,2026-02-12T19:31:55-05:00
greenhouse,astranis,CAD Engineer/Librarian Intern (Summer 2026),San Francisco,https://job-boards.greenhouse.io/astranis/jobs/4626432006,2026-02-12T19:31:55-05:00
greenhouse,astranis,Communications/DSP Engineer Intern (Spring 2026),San Francisco,https://job-boards.greenhouse.io/astranis/jobs/4619725006,2026-02-12T19:31:55-05:00
greenhouse,astranis,Environmental Test Engineer Intern (Summer 2026),San Francisco,https://job-boards.greenhouse.io/astranis/jobs/4654109006,2026-02-12T19:31:55-05:00
greenhouse,astranis,Flight Software Intern (Spring 2026),San Francisco,https://job-boards.greenhouse.io/astranis/jobs/4619285006,2026-02-12T19:31:55-05:00
greenhouse,astranis,"Hardware Design Intern, Software Defined Radio Team (Summer 2026)",San Francisco,https://job-boards.greenhouse.io/astranis/jobs/4646558006,2026-02-12T19:31:55-05:00
greenhouse,astranis,Harness Manufacturing Intern (Spring 2026),San Francisco,https://job-boards.greenhouse.io/astranis/jobs/4644678006,2026-02-12T19:31:55-05:00
